id,name,email,phone,city,department_name
123,Tammy,tammy@hotmail.com,412-234-1234,Calgary,data engineer
321,Usi,usi@gmail.com,321-321-5678,Houston,mobile developer
231,Cesar,cesar@hotmail.com,228-123-1414,El Paso,data mining
980,Rahib,rahib@aol.com,432-123-1313,Atlanta,back end development
454,Aashish,aashish@gmail.com,298-099-1122,Alabama,front end development
342,Jessica,jessica@yahoo.com,209-121-1313,San Jose,data engineer
232,Praket,praket@yahoo.com,908-123-1313,Austin,software engineer
910,Steve,steve@ymail.ca,901-123-1342,Houston,farming
766,Johnny,johnny@aol.com,129-121-1212,Tripoli,human trafficking
989,Jamie,jamie@hotmail.ca,766-122-3231,Washington,human resources
